Порядок;Code;Тип элемента;Наименование (Рус);Наименование (Узб);Обязательный;Длина
1;g1;Строка;Регион;Худуд;0;50
2;g2;Строка;Количество детей с кохлеарной имплантацией в Республике 2014;Республикада Кохлеар имплантация булган болалар сони 2014;1;3
3;g3;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2014;Республикада Кохлеар имплантацияга мухтожлар сони 2014;1;3
4;g4;Строка;Количество детей с кохлеарной имплантацией в Республике 2015;Республикада Кохлеар имплантация булган болалар сони 2015;1;3
5;g5;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2015;Республикада Кохлеар имплантацияга мухтожлар сони 2015;1;3
6;g6;Строка;Количество детей с кохлеарной имплантацией в Республике 2016;Республикада Кохлеар имплантация булган болалар сони 2016;1;3
7;g7;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2016;Республикада Кохлеар имплантацияга мухтожлар сони 2016;1;3
8;g8;Строка;Количество детей с кохлеарной имплантацией в Республике 2019;Республикада Кохлеар имплантация булган болалар сони 2019;1;3
9;g9;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2019;Республикада Кохлеар имплантацияга мухтожлар сони 2019;1;3
10;g11;Строка;Количество детей с кохлеарной имплантацией в Республике 2020;Республикада Кохлеар имплантация булган болалар сони 2020;1;3
11;g12;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2020;Республикада Кохлеар имплантацияга мухтожлар сони 2020;1;3
12;g13;Строка;Количество детей с кохлеарной имплантацией в Республике 2021;Республикада Кохлеар имплантация булган болалар сони 2021;1;3
13;g14;Строка;Количество людей, нуждающихся в кохлеарной имплантации в республике 2021;Республикада Кохлеар имплантацияга мухтожлар сони 2021;1;3
